question,lang,question_type
What's the best age to be?,EN,topic
"In your country how old must you be to smoke, drink, drive and get married?",EN,topic
How old were you when you left home?,EN,topic
What advice would you give to someone half your age?,EN,topic
What do you think is the best age to have children?,EN,topic
What do you think is the best age for a political leader?,EN,topic
What's the retirement age in your country?,EN,topic
Have you ever lied about your age?,EN,topic
Would you like to live until you were 1000?,EN,topic
Do you think a large age difference is unimportant in a relationship?,EN,topic
What annoys you about the English language?,EN,topic
Which celebrities annoy you?,EN,topic
What annoys you about the town where you live?,EN,topic
Do any of your friends or co-workers have annoying habits?,EN,topic
Do you think you have any annoying habits?,EN,topic
"When you're getting annoyed, do you bottle it up or let it out?",EN,topic
What really makes you mad?,EN,topic
Do you ever get annoyed with yourself?,EN,topic
Do you ever get annoyed with inanimate objects?,EN,topic
What annoying things do young/old people do?,EN,topic
Do you have any pets?,EN,topic
Have you ever been bitten or stung by an animal?,EN,topic
Are you afraid of any animals?,EN,topic
Have you ever thought about becoming vegetarian?,EN,topic
Do you like going to zoos?,EN,topic
What animals live in the wild in your country?,EN,topic
Would you like to go hunting?,EN,topic
Are you a cat person or a dog person?,EN,topic
What animals have you seen in the wild?,EN,topic
Do you think it's ok to wear fur?,EN,topic
Do you own any original pieces of art?,EN,topic
Describe an interesting photograph you've seen?,EN,topic
What pictures do you have on your walls?,EN,topic
Have you seen any famous works of art?,EN,topic
Do you have any artistic talents?,EN,topic
Who's your favourite artist?,EN,topic
How often do you visit museums or art galleries?,EN,topic
What kind of art do you like?,EN,topic
Who are the most famous artists from your country?,EN,topic
What do you think of modern art?,EN,topic
Have you ever been invited to a surprise birthday party?,EN,topic
Do you share your birthday with anyone famous?,EN,topic
How many people's birthdays do you know off by heart?,EN,topic
What's your star sign? Does your personality match your star sign?,EN,topic
What did you do for your last birthday?,EN,topic
How would you spend your perfect birthday?,EN,topic
Have you ever celebrated your birthday in another country?,EN,topic
Do you know what time of day you were born?,EN,topic
How do people celebrate birthdays in your country?,EN,topic
Do you know anyone who has their birthday on or near a big celebration day?,EN,topic
"If you don't like a book, do you still try to finish it?",EN,topic
What was the last book you read?,EN,topic
Who is your favourite author?,EN,topic
What kind of books do you like to read?,EN,topic
Have you ever read a book that had a big effect on your life?,EN,topic
Do you have an e-reader?,EN,topic
Do you sometimes reread your favourite books?,EN,topic
Can you judge a book by its cover?,EN,topic
Have you read a book that you thought was overrated?,EN,topic
How do you decide what books to read?,EN,topic
What's the biggest company in your country?,EN,topic
Have you ever worked for a big company?,EN,topic
Are there any companies you would like to work for?,EN,topic
Do you have a business card?,EN,topic
Are there any state owned businesses in your country?,EN,topic
Would you like to start your own company?,EN,topic
What kinds of businesses might have trouble surviving in the future?,EN,topic
Are there any companies you don't like but which you have to use?,EN,topic
Are there any companies you wouldn't work for?,EN,topic
Do many people own stocks and shares in your country?,EN,topic
Do you prefer to drive or to be a passenger?,EN,topic
Which classic car would you like to own?,EN,topic
Do you prefer sports cars or luxury cars?,EN,topic
What's the best car you've ever driven or had a ride in?,EN,topic
What do other car drivers do that makes you angry?,EN,topic
What's the most important factor when choosing a car?,EN,topic
How do you think cars will change in the next 20 years?,EN,topic
What was your first car?,EN,topic
Do you think there are too many cars on the road? What's the solution?,EN,topic
Did you pass your driving test first time?,EN,topic
Where do you like to shop for clothes?,EN,topic
Do you have a favourite item of clothing?,EN,topic
Where did you get the clothes you're wearing now?,EN,topic
Have you ever bought something quite expensive but only worn it once or twice?,EN,topic
What kind of clothes suit you?,EN,topic
Do you like to wear bright and colourful clothes?,EN,topic
Can you judge someone by the clothes that they wear?,EN,topic
Is there a dress code at your workplace?,EN,topic
Do you ever buy clothes online?,EN,topic
What is something that you would never wear?,EN,topic
Cigarettes should be banned<br />Agree or disagree?,EN,topic
Cannabis should be legalized<br />Agree or disagree?,EN,topic
The internet should be regulated to protect children<br />Agree or disagree?,EN,topic
"Nobody should be allowed to earn more than $1,000,000 a year<br />Agree or disagree?",EN,topic
English grammar is not important as long as people understand you<br />Agree or disagree?,EN,topic
National Service should be introduced / abolished<br />Agree or disagree?,EN,topic
Keeping animals in zoos is cruel<br />Agree or disagree?,EN,topic
Children should learn about sex at school<br />Agree or disagree?,EN,topic
Pirating movies and music isn't a big deal<br />Agree or disagree?,EN,topic
Old or sick people should have the right to take their own lives<br />Agree or disagree?,EN,topic
Do you think it's important to stay up to date with current affairs?,EN,topic
"In your opinion, which are the best and worst newspapers?",EN,topic
How do you get your news?,EN,topic
What's the biggest story in the news at the moment?,EN,topic
Do you think there will still be newspapers in five years?,EN,topic
What annoys you about news reporting in your country?,EN,topic
Have you ever been in a newspaper?,EN,topic
What would you like to see more of in the news?,EN,topic
What would you like to see less of in the news?,EN,topic
What headline do you wish you could see one day?,EN,topic
How often do you eat out?,EN,topic
How often do you get takeaway food?,EN,topic
What's your favourite restaurant?,EN,topic
How much do you usually tip?,EN,topic
Have you ever worked in a restaurant?,EN,topic
Do you prefer home cooked food or restaurant food?,EN,topic
What's your favourite dish?,EN,topic
Do you usually have a starter and a dessert when you eat out?,EN,topic
Have you ever eaten in a very expensive restaurant?,EN,topic
When you eat in a restaurant do you try something new or something you know you like?,EN,topic
What do you recycle?,EN,topic
How worried are you about global warming?,EN,topic
How do you try to save energy?,EN,topic
Have environmental concerns changed the way you travel?,EN,topic
Are you worried that we might run out of oil sometime soon?,EN,topic
How do environmental concerns influence what you buy?,EN,topic
What technologies could help to solve some environmental problems?,EN,topic
What do you think future generations will think about how we treat the environment today?,EN,topic
What do you think about nuclear power?,EN,topic
Have you noticed changes in the climate in your lifetime?,EN,topic
Who is the most famous person you've met or seen?,EN,topic
Who is the most famous person in the world?,EN,topic
Who is the most famous person from your country?,EN,topic
What would you like to be famous for?,EN,topic
What are the downsides of being famous?,EN,topic
What are the benefits of being famous?,EN,topic
"If you could have dinner or a drink with any living person, who would you choose?",EN,topic
Which famous people living today might still be remembered in 100 years?,EN,topic
"If you were rich and famous, how would you spend your time?",EN,topic
Which famous person would you be happy never to see again?,EN,topic
Are you a fussy eater?,EN,topic
Do you care where the food you eat comes from?,EN,topic
What national dishes from your country would you recommend?,EN,topic
What do you think of genetically-modified (GM) food?,EN,topic
How has your taste in food changed over time?,EN,topic
What are your guilty pleasures?,EN,topic
What was the last meal you cooked?,EN,topic
What's your perfect breakfast?,EN,topic
Is anyone in your family vegetarian?,EN,topic
How healthy is your diet?,EN,topic
Would you like to live for 1000 years?,EN,topic
What might your mobile phone be able to do in ten years' time?,EN,topic
Are you optimistic or pessimistic about the future?,EN,topic
Would you like a car that drives itself?,EN,topic
What possible future invention do you wish existed now?,EN,topic
What do you think people will do for entertainment in the future?,EN,topic
Do you think people will work more or less in the future?,EN,topic
What could be some important political issues in the next decade?,EN,topic
What laws do you think could change in the future?,EN,topic
"If it was possible to time-travel, which time period would you like to visit?",EN,topic
What object would you rescue if your house was on fire?,EN,topic
What kind of music do you listen to?,EN,topic
What do you watch on TV?,EN,topic
What was the last book you read?,EN,topic
Do you play any sports?,EN,topic
Where did you last go on holiday?,EN,topic
Do you have a favourite sports team?,EN,topic
What countries have you visited?,EN,topic
Have you lived in another city or country?,EN,topic
Who would you most like to meet?,EN,topic
Do people celebrate Halloween in your country? How?,EN,topic
Do you believe in ghosts?,EN,topic
What's the scariest movie you've seen?,EN,topic
Do you like watching horror movies or reading horror novels?,EN,topic
What were you afraid of when you were a child?,EN,topic
Have you ever experienced something you couldn't explain?,EN,topic
Do you have any phobias?,EN,topic
Who would you like to put a curse on?,EN,topic
How superstitious are you?,EN,topic
Have you ever dressed up for Halloween as an adult?,EN,topic
Do you have a healthy diet?,EN,topic
Do you get enough exercise?,EN,topic
What food or drinks do you avoid for health reasons?,EN,topic
Do you take vitamins or other supplements?,EN,topic
Do you try to take care of your brain as well as your body?,EN,topic
What's the biggest thing you could do to improve your health?,EN,topic
How often do you go to the doctor for a check-up?,EN,topic
Do you think people today are healthier or unhealthier than 50 years ago?,EN,topic
Are you allergic to anything?,EN,topic
How much sleep do you usually get? Is it enough?,EN,topic
Have you ever stayed at a really nice hotel?,EN,topic
Where did you go for your last holiday?,EN,topic
What would be your dream holiday?,EN,topic
What kind of souvenirs do you bring back from your holidays?,EN,topic
Have you been or would you like to go on a cruise?,EN,topic
Do you try to learn a little of the language before holidaying abroad?,EN,topic
Would you like to live somewhere that you have visited for a holiday?,EN,topic
What tips would you give holidaymakers who came to visit your town?,EN,topic
What was your worst holiday?,EN,topic
Do you know where your next holiday will be?,EN,topic
Is it better to buy than to rent?,EN,topic
How would you describe the style of your home?,EN,topic
What pictures do you have on your walls?,EN,topic
"What's more important, comfort or style?",EN,topic
What's your favourite item of furniture?,EN,topic
Where and what would be your dream home?,EN,topic
What's your favourite spot in your home?,EN,topic
How many different places have you lived?,EN,topic
Do you get on well with your neighbours?,EN,topic
How long have you lived in your current home?,EN,topic
What makes you laugh?,EN,topic
Can you think of a funny film you have seen?,EN,topic
Do you like to tell jokes?,EN,topic
Have you ever laughed at an inappropriate time?,EN,topic
Do you ever go to stand-up comedy shows?,EN,topic
Have you ever played a prank on anyone?,EN,topic
Have you ever read a book which made you laugh out loud?,EN,topic
Are there any English words which you find funny?,EN,topic
Who is the funniest person you know?,EN,topic
What's the funniest TV show?,EN,topic
What websites do you visit the most?,EN,topic
How much time do you spend on the internet?,EN,topic
When did you first get on the internet?,EN,topic
How worried are you about giving websites your personal information?,EN,topic
Have you ever created your own website?,EN,topic
How has the internet affected your work?,EN,topic
Do you think the internet should be more regulated?,EN,topic
How do you think the internet might develop in the future?,EN,topic
Do you ever shop online?,EN,topic
What annoys you about the internet?,EN,topic
What was your first job?,EN,topic
What would be your dream job?,EN,topic
What's the worst job you've had?,EN,topic
What do you like about your job?,EN,topic
How will your job change in the future?,EN,topic
Do you know anyone with an interesting or unusual job?,EN,topic
"If you won a lot of money, would you give up work?",EN,topic
How long have you had your current job?,EN,topic
What kind of job would you hate to have?,EN,topic
What do/did your parents do?,EN,topic
Which law should be abolished?,EN,topic
Is it ok to break the law sometimes?,EN,topic
What law would you like to introduce?,EN,topic
Have you ever got into trouble for breaking the law?,EN,topic
How much do you agree that there is one law for the rich and another for the poor?,EN,topic
What would you do if you found out that your company was breaking the law?,EN,topic
Would you like to be a police officer?,EN,topic
Do you think there should be more or less laws?,EN,topic
Have you ever visited a court?,EN,topic
Have you ever needed a lawyer?,EN,topic
What's the best thing about being in a relationship?,EN,topic
What's the best thing about being single?,EN,topic
Have you ever been on a date that didn't go well?,EN,topic
"If you have a partner, how did you meet them?",EN,topic
Do you like weddings?,EN,topic
How romantic are you?,EN,topic
Would you ever use an online dating site?,EN,topic
What kind of people are you attracted to?,EN,topic
What are weddings like in your country?,EN,topic
Do you think couples should live together before getting married?,EN,topic
What professions are overpaid and underpaid?,EN,topic
What do you enjoy spending money on?,EN,topic
What have you bought today?,EN,topic
"If you won a lot of money, what would you spend it on?",EN,topic
How many currencies can you name?,EN,topic
Do you prefer to pay by cash or plastic (credit/debit card)?,EN,topic
Did you get pocket money when you were a child?,EN,topic
What do you do with your small change?,EN,topic
Are you a saver or a spender?,EN,topic
Do you ever gamble?,EN,topic
What was the last film you saw?,EN,topic
Who is a famous actor from your country?,EN,topic
Can you remember the first film you saw at the cinema?,EN,topic
What film have you seen the most times?,EN,topic
Do you like old black and white movies?,EN,topic
Have you ever cried watching a movie?,EN,topic
What kind of films don't you like?,EN,topic
Have you ever walked out of a movie?,EN,topic
Do you have a film collection?,EN,topic
Who are your favourite actors?,EN,topic
Who is a singer that you like?,EN,topic
What kind of music do you like?,EN,topic
How has your music taste changed as you've got older?,EN,topic
Are there any types of music you don't enjoy?,EN,topic
What's the best concert you've been to?,EN,topic
What was the best decade for pop music?,EN,topic
What was the first single or album that you bought?,EN,topic
Do you like modern pop music? Who do you like?,EN,topic
How often do you buy music? Where do you buy it from?,EN,topic
How do you discover new music?,EN,topic
How long is a political term in your country?,EN,topic
Do you think you would be a good politician?,EN,topic
Do you think it's important to vote?,EN,topic
What are the main political parties in your country?,EN,topic
What makes a good politician?,EN,topic
Are you interested in politics?,EN,topic
Do you have similar political views to your parents?,EN,topic
How much influence does the media have on people's political views?,EN,topic
Do you have friends with different political views to you?,EN,topic
"If you were elected leader of your country, what law would you change first?",EN,topic
What were your favourite subjects at school?,EN,topic
Who was your favourite teacher?,EN,topic
Were any of your teachers a bit strange?,EN,topic
How did you get to school?,EN,topic
Do you agree that 'school days are the best days of your life'?,EN,topic
What did you use to do at break time?,EN,topic
Were you a good school pupil or a bit naughty?,EN,topic
Did you have to wear a school uniform? What was it?,EN,topic
Was bullying a problem at your school?,EN,topic
What should children be taught at school to help prepare them for 'the real world'?,EN,topic
Do you have a favourite shop?,EN,topic
What do you enjoy shopping for?,EN,topic
Do you shop online?,EN,topic
Have you ever suffered from buyer's remorse?,EN,topic
Do you prefer to shop alone or with friends?,EN,topic
What's the best place for shopping in your town or city?,EN,topic
How often do you buy clothes?,EN,topic
Where do you buy your groceries?,EN,topic
Have you ever worked in a shop?,EN,topic
What's the worst thing about shopping?,EN,topic
How many hours sleep do you need? How many do you normally get?,EN,topic
Do you or your partner snore?,EN,topic
How long does it take you to fall asleep?,EN,topic
What do you do if you can't sleep?,EN,topic
Can you usually remember your dreams?,EN,topic
Are you a heavy or a light sleeper?,EN,topic
Do you spring out of bed in the morning or do you need more time to wake up?,EN,topic
What's the first thing you do when you wake up?,EN,topic
What position do you like to sleep in?,EN,topic
Do you read or watch TV in bed?,EN,topic
What sports do you like to watch?,EN,topic
Do you play any sports?,EN,topic
Which sportsmen and women do you admire?,EN,topic
"If you could play any sport professionally, which sport would you choose?",EN,topic
Do you ever go to watch live sporting events?,EN,topic
"If you could watch any sporting event live, which event would you choose?",EN,topic
Do you support any sports teams?,EN,topic
Are there any sports you don't enjoy watching?,EN,topic
What are the most popular sports in your country?,EN,topic
Do you ever gamble on sporting events?,EN,topic
What's the most advanced piece of technology that you own?,EN,topic
Are you excited by new technology?,EN,topic
Do you think people rely too much on technology nowadays?,EN,topic
Do you find any modern gadgets frustrating to use?,EN,topic
What modern gadget could you not live without?,EN,topic
Would you like to own a robot that did most of the housework?,EN,topic
What do you think is the most important invention in your lifetime?,EN,topic
Do you own any technology that is now obsolete?,EN,topic
Are you an early adopter or do you like to wait un…thing has been tried and tested before buying it?,EN,topic
Are you concerned about any new or imminent technologies?,EN,topic
What was your favourite TV show when you were a child?,EN,topic
What TV channel do you watch the most?,EN,topic
Do you watch any reality TV shows?,EN,topic
What are the most popular TV shows in your country?,EN,topic
Do you ever stream or download shows from the internet?,EN,topic
Do you watch any soap operas?,EN,topic
"In your opinion, what are some of the best TV shows ever made?",EN,topic
How do you decide what to watch on TV?,EN,topic
Can you remember being shocked by a television programme?,EN,topic
Who are your favourite and least favourite TV presenters?,EN,topic
Do you wear a watch?,EN,topic
"If you could freeze time, what would you do?",EN,topic
"If you had more free time, how would you spend it?",EN,topic
Are you good at managing your time?,EN,topic
What do you consider to be a waste of time?,EN,topic
What time-saving gadget do you wish someone would invent?,EN,topic
When does time go quickly or slowly for you?,EN,topic
When was the best time of your life?,EN,topic
Are you usually on time for events and appointments?,EN,topic
If you had a time machine which period would you visit?,EN,topic
"If you had to give some visitors a tour of your hometown, what would you show them?",EN,topic
What do you like to do when you visit a new town or city?,EN,topic
What do you like about the town or city where you live now?,EN,topic
What would improve your town or city?,EN,topic
"If you could live in any city, where would you choose?",EN,topic
Would you prefer to live in a city or in the country?,EN,topic
Are there 'good' and 'bad' parts of your town?,EN,topic
What is your hometown famous for?,EN,topic
Is your town changing? In what ways?,EN,topic
What's your favourite part of town?,EN,topic
What's your favourite city or country?,EN,topic
What countries have you visited?,EN,topic
What kind of places do you like to visit?,EN,topic
How do you use the internet when making travel plans?,EN,topic
What's the best or worst hotel you've stayed in?,EN,topic
Do you take a lot of luggage when you travel or do you travel light?,EN,topic
What's a memorable place you've visited?,EN,topic
Do you like traveling alone?,EN,topic
Which country or city would you most like to visit?,EN,topic
What do you like about traveling?,EN,topic
Have you ever seen or experienced something you couldn't explain?,EN,topic
Have you ever been hypnotised?,EN,topic
Have you ever felt that you had a telepathic link with someone?,EN,topic
What conspiracy theories do you believe could be true?,EN,topic
Do you think humans have already made contact with extraterrestrial beings?,EN,topic
What mysteries are connected with your town or country?,EN,topic
Have you ever had a dream that came true?,EN,topic
Do you think someone's star sign can affect their personality?,EN,topic
What do you think about alternative medicines like acupuncture or homeopathy?,EN,topic
How superstitious are you?,EN,topic
What's your favourite season?,EN,topic
What's your favourite kind of weather?,EN,topic
What do you like to do on a rainy Sunday?,EN,topic
Have you ever experienced extreme weather conditions?,EN,topic
Is it normal in your country to make small talk about the weather?,EN,topic
How many different words or phrases can you think of to describe rain in English?,EN,topic
What's your least favourite type of weather?,EN,topic
Have you ever thought about moving to a country with a different climate?,EN,topic
What are the hottest and coldest temperatures you have experienced?,EN,topic
Do you prefer winter clothes or summer clothes?,EN,topic
What is a typical Christmas Day for you?,EN,topic
What do you like to eat at Christmas time?,EN,topic
Do you usually go to church at Christmas time?,EN,topic
Do you like Christmas music?,EN,topic
What do you dislike about Christmas?,EN,topic
Do you do your Christmas shopping nice and early or at the last minute?,EN,topic
Do you wish it could be Christmas every day?,EN,topic
Do you enjoy buying presents for other people?,EN,topic
What Christmas traditions do you enjoy?,EN,topic
Are there any special films or TV shows that you like to watch at Christmas?,EN,topic
What will the world be like in 50 years?,EN,topic
Where will you be this time tomorrow?,EN,topic
Who will win the next football (soccer) World Cup?,EN,topic
How will you spend your time when you retire?,EN,topic
Will people work more or less in the future?,EN,topic
What will be your next big purchase?,EN,topic
What features will the iPhone 20 have?,EN,topic
Who will be the next President of the USA?,EN,topic
Will people still carry cash in 20 years?,EN,topic
When will flying cars be invented?,EN,topic
What games did you play in the school playground?,EN,topic
Who were your best friends where you lived?,EN,topic
What did you enjoy doing at school?,EN,topic
What was your favourite toy?,EN,topic
What did you use to spend your pocket money on?,EN,topic
What TV shows did you enjoy?,EN,topic
What pictures did you have on your bedroom walls?,EN,topic
What's the first film you remember seeing at the cinema?,EN,topic
What food didn't you use to like?,EN,topic
What was it like where you lived?,EN,topic
What did you have for breakfast this morning?,EN,topic
What was the last film you saw?,EN,topic
Who did you last talk to on the telephone?,EN,topic
What did you last read?,EN,topic
What time did you go to bed last night?,EN,topic
What did you watch on TV last night?,EN,topic
What was the last photograph you took?,EN,topic
When did you last see the sea?,EN,topic
What did you buy yesterday?,EN,topic
What was the last meal you cooked?,EN,topic
Are you reading a good book at the moment?,EN,topic
What are you having for dinner tonight?,EN,topic
What are you looking forward to?,EN,topic
What is a friend of yours probably doing at the moment?,EN,topic
What projects are you working on at home or at work right now?,EN,topic
What's happening in the news at the moment?,EN,topic
Where are you going after this class?,EN,topic
What are you wearing today?,EN,topic
How are your English classes going?,EN,topic
Why are you learning English?,EN,topic
Have you ever seen or met a celebrity?,EN,topic
Have you ever ridden a horse or other animal?,EN,topic
Have you ever locked yourself out of your house or car?,EN,topic
Have you ever got lost on holiday?,EN,topic
Have you ever walked out of a movie before it finished?,EN,topic
Have you ever been on TV?,EN,topic
Have you ever dreamt something that later came true?,EN,topic
Have you ever eaten an insect?,EN,topic
Have you ever missed a plane flight?,EN,topic
Have you ever had a bad haircut?,EN,topic
What's the most disgusting thing you've eaten?,EN,topic
What's the longest journey you've ever been on?,EN,topic
What's the nicest hotel you've ever stayed at?,EN,topic
What's the most exciting activity you've ever done?,EN,topic
What's the nicest car you have ever travelled in?,EN,topic
What's the most exciting sporting event you have watched?,EN,topic
Which film have you watched the most times?,EN,topic
What's the worst job you've had?,EN,topic
How many places have you lived since you were born?,EN,topic
Have you ever bought anything and regretted it later?,EN,topic
Where do you live?,EN,topic
Where do you work?,EN,topic
What do you do at the weekends?,EN,topic
Who do you talk to the most?,EN,topic
How often do you go to the cinema?,EN,topic
How far from here do you live?,EN,topic
How many pairs of shoes do you have?,EN,topic
What time do you go to bed during the week?,EN,topic
Why do you think English is important?,EN,topic
How often do you get your hair cut?,EN,topic
What country would you like to visit?,EN,topic
What would you do if you had more free time?,EN,topic
What would you do if you could turn invisible?,EN,topic
Where would you live if you could live anywhere?,EN,topic
"If you could meet anyone alive or dead, who would you like to meet?",EN,topic
"If you could change any law, what would you change?",EN,topic
"If there were a pill that enabled you to live to 1000, would you take it?",EN,topic
"If you had $1,000,000 to invest, how would you invest it?",EN,topic
How would you feel if the internet stopped working?,EN,topic
"If you had to change jobs, what would you do instead?",EN,topic
How much coffee do you drink?,EN,topic
How do you take your coffee?,EN,topic
What is your most treasured possession?,EN,topic
Do you have a 'junk' draw? What's in it?,EN,topic
What is the oldest thing that you own?,EN,topic
How would you describe your neighbourhood?,EN,topic
Do you like your neighbourhood?,EN,topic
Has your neighbourhood changed since you have lived there?,EN,topic
Would you rather go into the past and meet your ancestors or go into the future and meet your great-great grandchildren?,EN,wyr
Would you rather have more time or more money?,EN,wyr
Would you rather have a rewind button or a pause button on your life?,EN,wyr
Would you rather be able to talk with the animals or speak all foreign languages?,EN,wyr
Would you rather win the lottery or live twice as long?,EN,wyr
Would you feel worse if no one showed up to your wedding or to your funeral?,EN,wyr
"Would you rather be without internet for a week, or without your phone?",EN,wyr
"Would you rather meet George Washington, or the current President?",EN,wyr
Would you rather lose your vision or your hearing?,EN,wyr
"Would you rather work more hours per day, but fewer days or work fewer hours per day, but more days?",EN,wyr
Would you rather listen to music from the 70’s or music from today?,EN,wyr
Would you rather become someone else or just stay you?,EN,wyr
Would you rather be Batman or Spiderman?,EN,wyr
Would you rather be stuck on a broken ski lift or in a broken elevator?,EN,wyr
"For your birthday, would you rather receive cash or gifts?",EN,wyr
Would you rather go to a movie or to dinner alone?,EN,wyr
Would you rather always say everything on your mind or never speak again?,EN,wyr
Would you rather make a phone call or send a text?,EN,wyr
Would you rather read an awesome book or watch a good movie?,EN,wyr
Would you rather be the most popular person at work or school or the smartest?,EN,wyr
Would you rather put a stop to war or end world hunger?,EN,wyr
Would you rather spend the night in a luxury hotel room or camping surrounded by beautiful scenery?,EN,wyr
Would you rather explore space or the ocean?,EN,wyr
Would you rather go deep sea diving or bungee jumping?,EN,wyr
Would you rather be a kid your whole life or an adult your whole life?,EN,wyr
Would you rather go on a cruise with friends or with your spouse?,EN,wyr
Would you rather lose your keys or your cell phone?,EN,wyr
Would you rather eat a meal of cow tongue or octopus?,EN,wyr
Would you rather have x-ray vision or magnified hearing?,EN,wyr
Would you rather work in a group or work alone?,EN,wyr
Would you rather be stuck on an island alone or with someone who talks incessantly?,EN,wyr
Would you rather be too hot or too cold?,EN,wyr
"When you’re old, would you rather die before or after your spouse?",EN,wyr
Would you rather have a cook or a maid?,EN,wyr
Would you rather be the youngest or the oldest sibling?,EN,wyr
Would you rather get rich through hard work or through winning the lottery?,EN,wyr
"Would you rather have a 10-hour dinner with a headstrong politician from an opposing party, or attend a 10-hour concert for a music group you detest?",EN,wyr
Would you rather be an Olympic gold medalist or a Nobel Peace Prize winner?,EN,wyr
Would you rather have a desk job or an outdoor job?,EN,wyr
Would you rather live at the top of a tall NYC apartment building or at the top of a mountain?,EN,wyr
Would you rather have Rambo or The Terminator on your side?,EN,wyr
Would you rather be proposed to in private or in front of family and friends?,EN,wyr
Would you rather have to sew all your clothes or grow your own food?,EN,wyr
Would you rather hear the good news or the bad news first?,EN,wyr
Would you rather be your own boss or work for someone else?,EN,wyr
Would you rather have nosy neighbors or noisy neighbors?,EN,wyr
Would you rather be on a survival reality show or dating game show?,EN,wyr
Would you rather be too busy or be bored?,EN,wyr
Would you rather watch the big game at home or live at the stadium.,EN,wyr
Would you rather spend the day with your favorite athlete or you favorite movie star?,EN,wyr
Would you rather live where it is constantly winter or where it is constantly summer?,EN,wyr
Would you rather travel the US and see the sights in a motorhome or by plane?,EN,wyr
Would you rather be a little late or way too early?,EN,wyr
Would you rather have an unlimited gift certificate to a restaurant or a clothing store?,EN,wyr
Would you rather date someone you met online or go on a blind date?,EN,wyr
Would you rather your kids wear a uniform to school or clothing of their choice?,EN,wyr
Would you rather have many good friends or one very best friend?,EN,wyr
Would you rather live in Antarctica or the Sahara Dessert?,EN,wyr
Would you rather be able to take back anything you say or hear every conversation around you?,EN,wyr
Would you rather be 4’5” or 7’7”?,EN,wyr
"Would you rather be poor and work at a job you love, or rich and work at a job you hate?",EN,wyr
Would you rather have your flight delayed by 8 hours or lose your luggage?,EN,wyr
Would you rather be in your pajamas or a suit all day?,EN,wyr
Would you rather have your first child when you are 18 or 40?,EN,wyr
Would you rather be the star player on a losing basketball team or ride the bench on a winning one?,EN,wyr
Would you rather spend the next year exempt from all taxes or have a one-month paid vacation?,EN,wyr
Would you rather have the best house in a bad neighborhood or the worst house in a good neighborhood?,EN,wyr
Would you rather be filthy rich and live 400 years ago or be poor but live today?,EN,wyr
Would you rather be gossiped about or never talked about at all?,EN,wyr
Would you rather end hunger or hatred?,EN,wyr
Would you rather be an unknown major league baseball player or a famous badminton star?,EN,wyr
Would you rather go without TV or junk food the rest of your life?,EN,wyr
Would you rather spend the day at an amusement park or lazing on the beach?,EN,wyr
Would you rather be fluent in all languages or be a master of every musical instrument?,EN,wyr
Would you rather sing a song in front of complete strangers or your closest friends?,EN,wyr
Would you rather own your own boat or your own plane?,EN,wyr
Would you rather meet the president of the United States or a movie star?,EN,wyr
Would you rather spend two weeks stuck in a psychiatric hospital or stuck in an airport?,EN,wyr
"If you had to give up one thing for the rest of your life, would it be brushing your hair or brushing your teeth?",EN,wyr
Would you rather spend 20 years in prison and be exonerated as innocent or be put away for four years (despite your innocence) and be considered guilty forever?,EN,wyr
Would you rather own a house or rent a residence?,EN,wyr
Would you rather be known as a one-hit wonder for a novel or a song?,EN,wyr
Would you rather take an action-packed European vacation or spend two weeks at the same Caribbean resort?,EN,wyr
Would you rather be a character in an action-packed thriller or a romantic comedy?,EN,wyr
Would you rather be stuck on a train or a bus?,EN,wyr
Would you rather be a part of an arranged marriage or spend your life as a single person?,EN,wyr
Would you rather babysit a crying infant for a day or have an unwanted houseguest for a week?,EN,wyr
Would you rather be locked in an amusement park or a library?,EN,wyr
Would you rather sing like an opera star or cook like a gourmet chef?,EN,wyr
Would you rather have your debt forgiven or have guaranteed good health for a decade?,EN,wyr
Would you rather live the rest of your life as a monk or followed continuously by paparazzi?,EN,wyr
Would you rather be given a lifetime supply of delicious food or books?,EN,wyr
Would you rather be able to breath underwater or fly through the air?,EN,wyr
Would you rather be known for your intelligence or your good looks?,EN,wyr
Would you rather eat pizza or ice cream as the only food for eternity?,EN,wyr
Would you rather mentally or physically never age?,EN,wyr
Would you rather change your eye color or your hair color?,EN,wyr
Would you rather have the details of your financial life or your love life be made public?,EN,wyr
Would you rather spend a year as a cop or a teacher in an inner-city neighborhood?,EN,wyr
Would you rather have a family of 12 children or never be able to have children at all?,EN,wyr